master_record_id,vessel_id,ship_type,dwt,built_year,vessel_age,year,route,distance_nm,voyage_days,voyage_hours,loading_condition,cargo_utilization_pct,avg_speed_knots,design_speed_knots,speed_vs_design_pct,engine_load_pct,rpm,shaft_power_kw,sfoc_g_kwh,draft_m,trim_m,displacement_tonnes,admiralty_coefficient,wind_speed_knots,beaufort_number,wave_height_m,current_speed_knots,current_direction,seawater_temp_c,days_since_hull_cleaning,hull_fouling_pct,propeller_fouling_pct,turbocharger_efficiency_pct,fuel_type,fuel_quality_index,hfo_pct,vlsfo_pct,mgo_pct,lng_pct,fuel_consumption_t_day,fuel_total_voyage_t,fuel_per_nm,co2_emitted_tonnes,exhaust_temp_c,jacket_water_temp_c,engine_room_temp_c,nox_tier,nox_g_kwh,nox_kg_voyage,fuel_sulphur_pct,sox_kg_per_tonne_fuel,sox_kg_voyage,scrubber_fitted,optimal_fuel_estimate_t,excess_fuel_pct,efficiency_rating,efficiency_rating_encoded,is_efficient,cii_vessel_name,cii_dwt,cii_gt,cii_flag_state,cii_classification_society,cii_year_reduction_factor_pct,cii_distance_nm,cii_days_at_sea,cii_days_in_port,cii_avg_speed_knots,cii_cargo_utilization_pct,cii_num_voyages,cii_hull_condition_index,cii_scrubber_fitted,cii_hfo_consumed_t,cii_mgo_consumed_t,cii_lng_consumed_t,cii_vlsfo_consumed_t,cii_total_fuel_consumed_t,cii_primary_fuel_type,cii_co2_emitted_tonnes,cii_transport_work_M_dwt_nm,cii_cii_ref,cii_cii_required,cii_cii_attained,cii_cii_ratio,cii_cii_rating,cii_cii_rating_encoded,cii_is_compliant,cii_needs_corrective_action,cii_prev_year_cii_rating,cii_cii_trend,fleet_avg_health_pct,fleet_min_health_pct,fleet_critical_components,fleet_warning_components,fleet_failure_events,fleet_total_downtime_hrs,fleet_total_repair_cost_usd,fleet_avg_degradation,fleet_max_degradation,fleet_components_monitored,wx_avg_wind_knots,wx_max_wind_knots,wx_avg_wave_height_m,wx_max_wave_height_m,wx_avg_beaufort,wx_storm_hours,wx_piracy_zone_hours,wx_avg_current_speed,wx_avg_sst_c,wx_avg_pressure_hpa,wx_avg_visibility_nm,region_avg_piracy_risk,region_max_piracy_risk,region_avg_storm_prob,region_avg_ice_prob,region_restricted_zones,region_avoid_zones,region_composite_risk,composite_risk_score__moderate,composite_risk_score__safest,composite_risk_score__shortest,destination_lat__moderate,destination_lat__safest,destination_lat__shortest,destination_lon__moderate,destination_lon__safest,destination_lon__shortest,destination_port__moderate,destination_port__safest,destination_port__shortest,efficiency_score__moderate,efficiency_score__safest,efficiency_score__shortest,fuel_cost_usd__moderate,fuel_cost_usd__safest,fuel_cost_usd__shortest,fuel_total_t__moderate,fuel_total_t__safest,fuel_total_t__shortest,gc_distance_nm__moderate,gc_distance_nm__safest,gc_distance_nm__shortest,is_recommended__moderate,is_recommended__safest,is_recommended__shortest,origin_lat__moderate,origin_lat__safest,origin_lat__shortest,origin_lon__moderate,origin_lon__safest,origin_lon__shortest,origin_port__moderate,origin_port__safest,origin_port__shortest,origin_region__moderate,origin_region__safest,origin_region__shortest,passes_cape_good_hope__moderate,passes_cape_good_hope__safest,passes_cape_good_hope__shortest,passes_gulf_aden__moderate,passes_gulf_aden__safest,passes_gulf_aden__shortest,passes_malacca__moderate,passes_malacca__safest,passes_malacca__shortest,passes_panama__moderate,passes_panama__safest,passes_panama__shortest,passes_suez__moderate,passes_suez__safest,passes_suez__shortest,piracy_risk_score__moderate,piracy_risk_score__safest,piracy_risk_score__shortest,route_distance_nm__moderate,route_distance_nm__safest,route_distance_nm__shortest,storm_risk_score__moderate,storm_risk_score__safest,storm_risk_score__shortest,voyage_days__moderate,voyage_days__safest,voyage_days__shortest
MASTER-000008,IMO9000000,Tanker,287185,2002,21,2020,Coastal,8278,28.74,689.8,Laden,0.833,12.0,16.0,75.0,42.6,91,5743.3,186.7,13.68,1.64,373340.0,1559.98,1.8,1,2.16,2.3,Beam,9.0,359,15.6,14.1,73.9,VLSFO,0.928,0.0,1.0,0.0,0.0,25.73,739.61,0.0894,2330.51,364.6,70.9,48.5,Tier1,13.57,53757.54,0.49,9.8,7248.18,1,505.09,46.4,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,1,95947,263,102,12.61,0.751,8,0.662,1,13212.2,826.8,0.0,2051.9,16090.9,HFO,50259.0,27554.54,2.4572,2.4326,1.824,0.7498,A,0,1,0,N/A,0.0,16.8,0.0,5.0,1.0,5.0,362.0,297868.0,0.8322,1.0,8.0,10.127,17.6,3.3119,8.46,3.4865,0,12,0.3219,20.6541,1009.1054,14.9351,0.471,0.726,0.2308,0.005,1,3,0.2865,0.17,0.089,0.23,23.129,23.129,23.129,113.264,113.264,113.264,Guangzhou,Guangzhou,Guangzhou,0.667,0.664,0.728,661750.0,837162.0,804984.0,1123.0,1347.9,1154.5,3170,3170,3170,0,1,0,24.986,24.986,24.986,55.028,55.028,55.028,Jebel Ali,Jebel Ali,Jebel Ali,Middle East,Middle East,Middle East,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.24,0.114,0.371,5929,6187,5557,0.196,0.116,0.197,17.04,20.46,17.15
MASTER-000001,IMO9000000,Tanker,287185,2002,21,2022,Asia-Europe,15800,52.25,1254.0,Laden,0.705,12.6,16.0,78.8,46.0,96,13138.5,186.7,12.13,-0.52,373340.0,789.41,21.9,6,3.33,1.01,Beam,15.0,502,28.4,22.5,71.1,MGO,0.86,0.0,0.0,1.0,0.0,58.87,3076.01,0.1947,9861.69,392.6,74.0,43.7,Tier1,16.2,266906.0,0.1,2.0,6152.02,1,2100.65,46.4,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,3,55486,307,58,12.15,0.808,10,0.662,1,15824.3,3272.6,0.0,2929.7,22026.6,HFO,69000.3,15934.75,2.4572,2.3835,4.3302,1.8167,E,4,0,1,B,2.4547,30.9286,0.0,3.0,0.0,3.0,253.1,275556.0,0.6907,1.0,7.0,13.1186,31.0,5.2972,15.0,4.0,1,21,0.4649,20.346,1006.6487,13.9858,0.4928,0.783,0.2422,0.005,1,3,0.2865,0.097,0.19,0.115,33.737,33.737,33.737,-118.262,-118.262,-118.262,Los Angeles,Los Angeles,Los Angeles,0.637,0.687,0.685,1523625.0,1450773.0,1628044.0,2496.7,2197.3,2478.5,4781,4781,4781,1,0,0,35.444,35.444,35.444,139.638,139.638,139.638,Yokohama,Yokohama,Yokohama,Asia Pacific,Asia Pacific,Asia Pacific,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.078,0.144,0.167,11383,12397,11384,0.172,0.316,0.115,37.64,37.7,35.14
MASTER-000004,IMO9000000,Tanker,287185,2002,21,2022,Transatlantic,5505,17.25,414.0,Ballast,0.778,13.3,16.0,83.1,55.6,101,12198.9,185.1,8.63,-0.52,373340.0,999.93,9.9,3,2.13,1.49,Favourable,24.3,538,29.0,23.4,73.6,HFO,0.846,1.0,0.0,0.0,0.0,54.19,934.82,0.1698,2911.03,385.3,77.6,45.1,Tier1,14.18,71613.89,2.7,54.0,50480.28,1,643.92,45.2,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,3,55486,307,58,12.15,0.808,10,0.662,1,15824.3,3272.6,0.0,2929.7,22026.6,HFO,69000.3,15934.75,2.4572,2.3835,4.3302,1.8167,E,4,0,1,B,2.4547,30.9286,0.0,3.0,0.0,3.0,253.1,275556.0,0.6907,1.0,7.0,21.6692,32.0,11.3428,15.0,5.5385,8,0,0.3783,7.4338,1005.2062,11.7738,0.4928,0.783,0.2422,0.005,1,3,0.2865,0.097,0.19,0.115,33.737,33.737,33.737,-118.262,-118.262,-118.262,Los Angeles,Los Angeles,Los Angeles,0.637,0.687,0.685,1523625.0,1450773.0,1628044.0,2496.7,2197.3,2478.5,4781,4781,4781,1,0,0,35.444,35.444,35.444,139.638,139.638,139.638,Yokohama,Yokohama,Yokohama,Asia Pacific,Asia Pacific,Asia Pacific,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.078,0.144,0.167,11383,12397,11384,0.172,0.316,0.115,37.64,37.7,35.14
MASTER-000002,IMO9000000,Tanker,287185,2002,21,2023,Transpacific,15802,46.37,1112.9,Ballast,0.766,14.2,16.0,88.8,67.5,106,13491.8,182.6,16.33,1.7,373340.0,1100.35,13.3,4,0.14,2.22,Against,26.5,543,29.8,14.7,76.4,VLSFO,0.963,0.0,1.0,0.0,0.0,59.13,2741.69,0.1735,8639.07,404.6,73.1,47.2,Tier1,13.18,197894.46,0.49,9.8,26868.56,1,1914.38,43.2,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,5,101330,231,134,15.86,0.763,7,0.662,1,0.0,3716.3,0.0,12583.4,16299.7,VLSFO,51564.8,29100.46,2.4572,2.3343,1.772,0.7591,A,0,1,0,E,-2.5582,11.25,0.0,1.0,1.0,2.0,88.7,52753.0,0.8878,1.0,2.0,15.1449,28.4,6.5351,15.0,4.4286,0,0,0.5116,12.1612,1006.0408,13.3347,0.545,0.907,0.2355,-0.0058,1,3,0.304,0.14,0.232,0.174,23.129,23.129,23.129,113.264,113.264,113.264,Guangzhou,Guangzhou,Guangzhou,0.647,0.696,0.672,1641385.0,1724029.0,1566290.0,2744.8,2888.2,2542.8,5522,5522,5522,1,0,0,49.283,49.283,49.283,-123.12,-123.12,-123.12,Vancouver,Vancouver,Vancouver,Americas,Americas,Americas,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.099,0.063,0.176,14035,15313,12660,0.249,0.456,0.282,43.64,49.08,35.88
MASTER-000003,IMO9000000,Tanker,287185,2002,21,2023,Middle East-Asia,17761,57.37,1376.9,Laden,0.819,12.9,16.0,80.6,55.8,91,10884.4,185.7,11.48,2.71,373340.0,1022.59,12.4,4,0.42,2.42,Against,16.9,1090,70.9,58.1,71.3,HFO,0.915,1.0,0.0,0.0,0.0,48.51,2783.0,0.1567,8666.26,409.0,71.3,49.1,Tier1,12.46,186731.95,2.7,54.0,150282.0,1,1910.78,45.6,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,5,101330,231,134,15.86,0.763,7,0.662,1,0.0,3716.3,0.0,12583.4,16299.7,VLSFO,51564.8,29100.46,2.4572,2.3343,1.772,0.7591,A,0,1,0,E,-2.5582,11.25,0.0,1.0,1.0,2.0,88.7,52753.0,0.8878,1.0,2.0,9.6649,19.4,3.1132,10.25,3.3514,0,12,0.463,21.8108,1007.3622,15.1324,0.545,0.907,0.2355,-0.0058,1,3,0.304,0.14,0.232,0.174,23.129,23.129,23.129,113.264,113.264,113.264,Guangzhou,Guangzhou,Guangzhou,0.647,0.696,0.672,1641385.0,1724029.0,1566290.0,2744.8,2888.2,2542.8,5522,5522,5522,1,0,0,49.283,49.283,49.283,-123.12,-123.12,-123.12,Vancouver,Vancouver,Vancouver,Americas,Americas,Americas,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.099,0.063,0.176,14035,15313,12660,0.249,0.456,0.282,43.64,49.08,35.88
MASTER-000005,IMO9000000,Tanker,287185,2002,21,2023,Intra-Asia,6648,20.07,481.7,Laden,0.612,13.8,16.0,86.2,61.7,106,17655.8,179.6,16.88,0.8,373340.0,771.77,10.7,4,3.01,0.17,Against,25.0,1082,73.4,53.7,71.0,HFO,0.857,1.0,0.0,0.0,0.0,76.1,1527.4,0.2298,4756.32,404.3,75.5,46.9,Tier1,12.08,102733.7,2.7,54.0,82479.6,1,1084.32,40.9,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,5,101330,231,134,15.86,0.763,7,0.662,1,0.0,3716.3,0.0,12583.4,16299.7,VLSFO,51564.8,29100.46,2.4572,2.3343,1.772,0.7591,A,0,1,0,E,-2.5582,11.25,0.0,1.0,1.0,2.0,88.7,52753.0,0.8878,1.0,2.0,9.6649,19.4,3.1132,10.25,3.3514,0,12,0.463,21.8108,1007.3622,15.1324,0.545,0.907,0.2355,-0.0058,1,3,0.304,0.14,0.232,0.174,23.129,23.129,23.129,113.264,113.264,113.264,Guangzhou,Guangzhou,Guangzhou,0.647,0.696,0.672,1641385.0,1724029.0,1566290.0,2744.8,2888.2,2542.8,5522,5522,5522,1,0,0,49.283,49.283,49.283,-123.12,-123.12,-123.12,Vancouver,Vancouver,Vancouver,Americas,Americas,Americas,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.099,0.063,0.176,14035,15313,12660,0.249,0.456,0.282,43.64,49.08,35.88
MASTER-000006,IMO9000000,Tanker,287185,2002,21,2023,Americas,17415,51.46,1235.0,Ballast,0.78,14.1,16.0,88.1,67.4,102,19714.3,185.6,10.86,1.59,373340.0,737.25,10.5,4,0.97,0.99,Against,27.4,773,40.2,28.1,70.3,VLSFO,0.885,0.0,1.0,0.0,0.0,87.82,4518.98,0.2595,14239.31,427.8,76.9,53.0,Tier1,13.09,318714.65,0.49,9.8,44286.0,1,3104.36,45.6,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,5,101330,231,134,15.86,0.763,7,0.662,1,0.0,3716.3,0.0,12583.4,16299.7,VLSFO,51564.8,29100.46,2.4572,2.3343,1.772,0.7591,A,0,1,0,E,-2.5582,11.25,0.0,1.0,1.0,2.0,88.7,52753.0,0.8878,1.0,2.0,21.7723,31.9,11.4838,15.0,5.6462,7,0,0.4695,5.6246,1006.4031,11.5615,0.545,0.907,0.2355,-0.0058,1,3,0.304,0.14,0.232,0.174,23.129,23.129,23.129,113.264,113.264,113.264,Guangzhou,Guangzhou,Guangzhou,0.647,0.696,0.672,1641385.0,1724029.0,1566290.0,2744.8,2888.2,2542.8,5522,5522,5522,1,0,0,49.283,49.283,49.283,-123.12,-123.12,-123.12,Vancouver,Vancouver,Vancouver,Americas,Americas,Americas,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.099,0.063,0.176,14035,15313,12660,0.249,0.456,0.282,43.64,49.08,35.88
MASTER-000007,IMO9000000,Tanker,287185,2002,21,2023,West Africa,17999,58.14,1395.4,Laden,0.683,12.9,16.0,80.6,55.9,97,14583.3,185.8,16.09,0.12,373340.0,763.22,27.2,7,1.39,2.26,Beam,8.5,391,16.4,12.9,74.0,MGO,0.942,0.0,0.0,1.0,0.0,65.03,3780.84,0.2101,12121.37,391.5,72.8,48.5,Tier1,12.51,254565.41,0.1,2.0,7561.68,1,2594.49,45.7,E,4,0,MV TAN-0001,287185,160445,Marshall Islands,ABS,5,101330,231,134,15.86,0.763,7,0.662,1,0.0,3716.3,0.0,12583.4,16299.7,VLSFO,51564.8,29100.46,2.4572,2.3343,1.772,0.7591,A,0,1,0,E,-2.5582,11.25,0.0,1.0,1.0,2.0,88.7,52753.0,0.8878,1.0,2.0,21.7723,31.9,11.4838,15.0,5.6462,7,0,0.4695,5.6246,1006.4031,11.5615,0.545,0.907,0.2355,-0.0058,1,3,0.304,0.14,0.232,0.174,23.129,23.129,23.129,113.264,113.264,113.264,Guangzhou,Guangzhou,Guangzhou,0.647,0.696,0.672,1641385.0,1724029.0,1566290.0,2744.8,2888.2,2542.8,5522,5522,5522,1,0,0,49.283,49.283,49.283,-123.12,-123.12,-123.12,Vancouver,Vancouver,Vancouver,Americas,Americas,Americas,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.099,0.063,0.176,14035,15313,12660,0.249,0.456,0.282,43.64,49.08,35.88
MASTER-000009,IMO9000001,Bulk Carrier,177249,2002,21,2020,Asia-Europe,9632,31.6,758.4,Laden,0.659,12.7,15.5,81.9,55.5,93,6419.5,189.8,11.75,2.84,230424.0,1199.3,10.7,4,0.07,1.2,Against,27.2,795,39.2,25.2,74.8,VLSFO,0.953,0.0,1.0,0.0,0.0,29.24,924.05,0.0959,2911.68,392.0,72.3,45.9,Tier1,12.94,62999.02,0.49,9.8,9055.69,1,639.0,44.6,E,4,0,MV BUL-0002,177249,109889,Bahamas,Lloyd's Register,1,54475,263,102,10.67,0.701,8,0.988,1,6639.4,574.6,0.0,1192.3,8406.3,HFO,26274.2,9655.64,2.58,2.5542,2.7211,1.0653,C,2,1,0,N/A,0.0,23.2222,0.0,5.0,1.0,5.0,351.4,256003.0,0.7679,1.0,9.0,13.515,31.2,5.6501,15.0,4.1062,2,21,0.4382,19.5398,1005.9513,13.7018,0.2367,0.55,0.3641,0.1449,2,2,0.2766,0.133,0.085,0.202,53.55,53.55,53.55,9.993,9.993,9.993,Hamburg,Hamburg,Hamburg,0.694,0.672,0.704,670224.0,622088.0,537286.0,957.7,929.6,795.6,5883,5883,5883,0,1,0,-12.05,-12.05,-12.05,-77.147,-77.147,-77.147,Callao,Callao,Callao,Americas,Americas,Americas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.0,0.065,6989,7560,6307,0.261,0.225,0.395,23.11,23.68,17.76
MASTER-000014,IMO9000001,Bulk Carrier,177249,2002,21,2020,Americas,16062,57.2,1372.8,Laden,0.934,11.7,15.5,75.5,47.3,86,5047.6,190.0,12.35,2.45,230424.0,1192.59,11.4,4,0.97,0.81,Favourable,24.9,309,11.0,9.9,75.3,HFO,0.848,1.0,0.0,0.0,0.0,23.02,1316.58,0.082,4099.83,368.6,71.5,48.7,Tier1,14.7,101861.38,2.7,54.0,71095.32,1,909.48,44.8,E,4,0,MV BUL-0002,177249,109889,Bahamas,Lloyd's Register,1,54475,263,102,10.67,0.701,8,0.988,1,6639.4,574.6,0.0,1192.3,8406.3,HFO,26274.2,9655.64,2.58,2.5542,2.7211,1.0653,C,2,1,0,N/A,0.0,23.2222,0.0,5.0,1.0,5.0,351.4,256003.0,0.7679,1.0,9.0,22.0492,32.0,11.2892,15.0,5.5846,10,0,0.4782,4.7415,1005.0277,11.4523,0.2367,0.55,0.3641,0.1449,2,2,0.2766,0.133,0.085,0.202,53.55,53.55,53.55,9.993,9.993,9.993,Hamburg,Hamburg,Hamburg,0.694,0.672,0.704,670224.0,622088.0,537286.0,957.7,929.6,795.6,5883,5883,5883,0,1,0,-12.05,-12.05,-12.05,-77.147,-77.147,-77.147,Callao,Callao,Callao,Americas,Americas,Americas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.0,0.065,6989,7560,6307,0.261,0.225,0.395,23.11,23.68,17.76
